Tamano 10,Tamano 20,Tamano 30,Tamano 40,Tamano 50,Tamano 60,Tamano 70,Tamano 80,Tamano 90,Tamano 100,Tamano 110,Tamano 120,Tamano 130,Tamano 140,Tamano 150,Tamano 160,Tamano 170,Tamano 180,Tamano 190,Tamano 200,Tamano 210,Tamano 220,Tamano 230,Tamano 240,Tamano 250,Tamano 260,Tamano 270,Tamano 280,Tamano 290,Tamano 300,Tamano 310,Tamano 320,Tamano 330,Tamano 340,Tamano 350,Tamano 360,Tamano 370,Tamano 380,Tamano 390,Tamano 400,Tamano 410,Tamano 420,Tamano 430,Tamano 440,Tamano 450,Tamano 460,Tamano 470,Tamano 480,Tamano 490,Tamano 500,Tamano 510,Tamano 520,Tamano 530,Tamano 540,Tamano 550,Tamano 560,Tamano 570,Tamano 580,Tamano 590,Tamano 600,Tamano 610,Tamano 620,Tamano 630,Tamano 640,Tamano 650,Tamano 660,Tamano 670,Tamano 680,Tamano 690,Tamano 700,Tamano 710,Tamano 720,Tamano 730,Tamano 740,Tamano 750,Tamano 760,Tamano 770,Tamano 780,Tamano 790,Tamano 800,Tamano 810,Tamano 820,Tamano 830,Tamano 840,Tamano 850,Tamano 860,Tamano 870,Tamano 880,Tamano 890,Tamano 900,Tamano 910,Tamano 920,Tamano 930,Tamano 940,Tamano 950,Tamano 960,Tamano 970,Tamano 980,Tamano 990,Tamano 1000
1200,3100,4400,5800,7300,9200,11500,12800,15500,16200,19100,19600,21300,24300,26500,31200,30300,30900,31800,34100,36100,37300,39700,41200,46000,45100,47600,51700,51600,52900,55600,69800,63300,82600,62000,68300,66700,68100,73100,74500,81100,77300,79300,80500,83800,81800,90500,87400,96500,94800,105700,207900,101700,99100,101900,115700,108500,107500,110200,110800,113800,116300,123000,141300,129100,121800,124300,132100,136400,134900,134100,134500,146100,141500,164800,141000,151400,144200,155000,152200,168400,156300,161800,159200,162600,168400,172900,177600,167400,170300,173300,179400,176700,239100,188800,216200,186600,189500,186800,197800
1500,2800,4800,5800,7900,9600,11100,12700,15400,16000,19000,19100,21200,27200,26300,29600,30500,30900,32100,34100,36100,37900,39100,41000,52700,44800,61100,51300,55200,51900,55100,56800,58700,64300,63200,66800,66900,69000,72700,73400,74800,76200,81500,79200,84300,84100,89700,89300,90000,94600,92700,115600,98000,99800,104300,106100,108900,109100,116500,111500,111500,114800,117300,117600,119300,126700,135700,137700,175600,131100,130900,137200,187100,199900,143200,169500,149900,146300,154200,151000,152400,156700,162900,170600,161600,168200,167800,170700,168100,170000,255500,175700,178000,185000,190300,181000,183800,186900,200000,190300
1200,2800,4400,5900,7400,9000,13500,12300,14900,15600,19500,19500,21300,22700,25900,26400,30300,30700,34800,33800,37000,37900,39600,41100,48200,45200,50000,52200,51300,51500,55300,56000,58800,61400,61900,63900,67000,69200,73800,74300,73600,76900,77600,78500,108800,82300,86200,91900,92500,93300,93200,112000,96600,103100,102300,106000,110500,107500,112100,118600,124900,115400,184700,119700,121100,124200,142400,131200,129100,135900,138800,135400,150000,140500,144600,147100,148100,148600,157300,158100,153500,156100,159300,169800,170600,164500,163700,176600,171200,170900,179600,173400,177100,176200,183200,182700,191900,189900,201000,187600
1200,2700,4400,6300,7700,9800,11200,12700,14800,15700,19200,19700,21200,22900,25900,26600,29800,30900,33600,34600,35900,38300,40800,40400,45000,44900,47000,51800,55100,52400,54400,55400,58800,62200,62600,63900,67200,68300,72200,75300,72800,76200,78600,79600,82800,88900,90400,87900,89200,93500,97400,99500,96500,100500,149300,107100,105700,113600,108100,116900,116400,134800,116900,130800,128600,122700,131500,131900,136300,140100,146100,133700,140000,137700,150100,143100,145000,147900,150300,150600,166300,154300,156300,163600,164300,160100,165600,308100,178700,174100,177500,176800,176900,273100,180200,179100,184500,187900,190500,201400
1200,2900,4300,5800,7400,9800,11600,12600,14800,16400,18800,19300,21300,22800,26700,26500,30100,30700,32100,33600,41700,37800,39300,41300,58300,44800,48300,50500,52600,52200,55000,55600,58300,92700,61500,66500,67200,69700,73700,72600,76500,78800,92100,79800,82800,83900,88900,93100,91600,92500,92400,97900,95900,101900,103300,102900,107600,109600,110400,111400,112300,116900,115800,126400,122800,123800,129800,133900,135000,131900,134500,135000,140700,209700,160500,146300,142500,146100,147300,252700,181100,169700,156800,163300,160800,161200,166700,300400,168000,173300,175100,230600,181100,203000,184600,193200,182600,191200,190600,192300
1300,3300,4700,5900,7400,10500,11500,12200,15000,16100,19200,19600,22400,23000,26300,26200,30300,30600,35100,34100,36800,37500,39400,41200,45100,45100,47500,51800,53100,52700,55100,55500,58200,66100,61500,83300,66900,67300,72400,73800,77800,78900,79900,79900,83400,82500,87900,89500,106500,90500,92500,105100,96700,100100,101100,101800,104400,109100,109500,111700,114100,114400,116400,123100,121300,123300,127000,132300,135000,128700,143800,145200,322100,140000,167200,170200,142900,148500,149300,155200,174100,159200,163200,187300,160600,164500,164800,170600,170600,169100,178500,175900,177900,187400,184400,178600,185700,188100,185900,191200
1200,2700,4700,6100,7800,9800,11000,12600,14900,15700,19000,19500,21100,23100,26400,26300,29800,30800,31900,33700,37200,40900,39500,44800,45900,45100,47500,51600,51400,52200,55000,55300,58300,61500,61000,169800,67200,68000,72400,72300,73600,81000,79800,80300,85600,83600,88100,89700,89900,90400,95600,99100,97000,99300,100500,102100,114100,109900,111100,113300,113000,115800,115600,117600,121600,126500,128900,131900,166100,131100,136400,135800,141100,141000,143100,149600,147400,295100,161900,154600,153800,155700,157800,163000,176400,162600,167100,171200,167800,170800,177500,179000,178600,179400,192100,180200,190500,223200,186800,222600
1200,2900,4500,5800,7700,9900,11400,12500,24400,16100,19100,19600,21100,23100,25900,26700,30800,30400,32000,34000,36300,44400,40100,43700,55700,44800,46600,49600,50500,53100,54600,55900,57600,59800,63200,65900,76800,78100,72800,72600,75300,78200,105300,77900,82400,82800,89000,86400,88900,89800,105200,183000,96200,98000,101700,103900,111000,108000,118600,110600,112500,116900,118700,115600,123600,128800,125100,127000,131900,131100,138100,138000,331300,140100,145900,147100,145900,146000,151700,150100,152800,153900,160000,156600,161700,165800,166400,170000,166400,169800,172300,178300,194400,182900,184100,181900,188700,186800,189400,188400
1200,2800,4400,5900,7400,10000,10900,12500,16100,16200,19000,19200,21200,23600,25300,27100,30300,35000,32300,34100,35500,44600,39200,44600,50100,44800,49900,51600,50400,67900,55100,54900,58900,61600,68200,65000,70500,70300,72700,74100,73500,76500,81000,78500,82800,83900,87800,87000,92900,88700,93600,106900,97400,98700,106400,104900,121600,109500,109600,123500,157100,134400,116600,122600,128400,128400,129200,138800,128800,129500,134400,136200,138200,196300,140300,151300,148200,147800,147800,164700,152900,154300,161800,210300,162200,163900,166700,165600,186300,167100,171800,175200,177600,178800,183100,183100,192300,190800,187500,239900
1300,3000,4500,6800,7800,9700,11400,12500,14700,16100,18500,19800,21200,23300,25200,26800,30000,31100,32400,34100,36200,40700,38600,44400,43500,44800,48700,58100,50500,64100,54800,56000,62600,61800,86100,65200,68500,67000,73900,72800,73100,75300,81100,82800,84700,85800,88700,86700,89300,92300,94600,98800,96700,102600,111800,104300,108300,112000,110700,116900,116200,117500,116900,117900,136700,128500,131700,129400,128300,133900,135900,140600,169500,138600,141000,185300,146600,146300,157900,152500,152500,152200,154200,171600,163800,167200,194900,166500,168100,170600,171400,177700,173600,179500,177600,179900,186200,188000,189600,189900
